Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Endereço de email)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Publicidade ou marketing
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Endereço de email)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Personalização
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Utilização e tratamento de dados (Endereço de email)/Por que motivo estes dados do utilizador são partilhados? Selecione todas as opções aplicáveis./Gestão da conta
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (IDs de utilizador)/Estes dados são recolhidos, partilhados ou ambos?/Recolhidos"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (IDs de utilizador)/Estes dados são recolhidos, partilhados ou ambos?/Partilhado"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Utilização e tratamento de dados (IDs de utilizador)/Estes dados são tratados efemeramente?
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/Os utilizadores podem escolher se estes dados são recolhidos
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Estes dados são necessários para a sua app ou os utilizadores podem escolher se são recolhidos?/A recolha de dados é necessária (os utilizadores não podem desativar esta recolha de dados)
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Funcionalidade da app
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Análise
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Comunicações do programador
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Prevenção de fraudes, segurança e conformidade"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Utilização e tratamento de dados (IDs de utilizador)/Por que motivo estes dados do utilizador são recolhidos? Selecione todas as opções aplicáveis./Publicidade ou marketing
